Code,Character
0001,一
0002,丁
0003,七
0004,丈
0005,三
0006,上
0007,下
0008,不
0009,丐
0010,丑
0011,且
0012,丕
0013,世
0014,丙
0015,丞
0016,丢
0017,並
0018,丏
0019,丨
0020,个
0021,丫
0022,中
0023,丰
0025,串
0026,锕
0027,丶
0028,锿
0029,丸
0030,丹
0031,主
0032,砹
0033,丿
0034,乂
0035,乃
0036,久
0037,之
0038,乍
0039,乎
0040,乏
0041,乖
0042,乘
0043,桉
0044,乙
0045,乜
0046,九
0047,乞
0048,也
0050,乳
0051,乾
0052,乱
0053,凼
0054,亅
0055,了
0056,予
0057,事
0058,苯
0059,二
0060,于
0061,云
0062,互
0063,五
0064,井
0067,些
0068,亚
0069,亟
0070,吡
0071,亠
0072,亡
0073,亢
0074,交
0075,亥
0076,亦
0077,亨
0078,享
0079,京
0080,亭
0081,亮
0082,亳
0083,亶
0085,醭
0086,人
0087,什
0088,仁
0089,仃
0090,仄
0091,仆
0092,仇
0093,今
0094,介
0095,仍
0096,佣
0097,佬
0098,仔
0099,仕
0100,他
0101,仗
0102,付
0103,仙
0104,仝
0105,仞
0106,仡
0107,仟
0108,代
0109,令
0110,以
0111,仰
0112,仲
0113,仳
0114,仵
0115,件
0116,价
0117,任
0118,份
0119,仿
0120,企
0121,伉
0122,伊
0123,伋
0124,伍
0125,伎
0126,伏
0127,伐
0128,休
0129,伙
0130,伯
0131,估
0132,你
0133,伴
0134,伶
0135,伸
0136,伺
0137,伻
0138,似
0139,倮
0140,佃
0141,但
0143,位
0144,低
0145,住
0146,佐
0147,佑
0149,何
0150,佗
0151,余
0152,佘
0153,佚
0154,佛
0155,作
0156,佞
0157,佟
0158,佺
0160,佩
0161,伢
0162,佯
0163,佳
0165,佶
0166,佝
0167,佻
0168,佾
0169,使
0170,侃
0171,来
0172,侈
0173,例
0174,侍
0175,侏
0176,侑
0177,侔
0178,仑
0179,侗
0180,供
0181,依
0183,伕
0184,佰
0185,侮
0186,侯
0187,侵
0188,侣
0189,便
0191,促
0192,俄
0193,俊
0194,俎
0195,俏
0196,俐
0197,俑
0198,俗
0199,俘
0200,俚
0201,佡
0202,保
0203,俟
0204,侠
0205,俞
0206,俫
0207,信
0208,修
0209,俶
0210,伥
0211,働
0212,倌
0213,倬
0214,俯
0215,俱
0216,俳
0217,俵
0218,俸
0219,俺
0220,俾
0221,仓
0223,倍
0224,俩
0225,倏
0226,们
0227,倒
0229,倘
0230,候
0231,倚
0232,倜
0234,借
0235,倡
0237,值
0238,倥
0239,倦
0240,倨
0241,倩
0242,倪
0243,伦
0244,倭
0245,偈
0246,偎
0247,傻
0249,偃
0250,假
0251,伟
0252,偏
0253,偕
0254,做
0255,停
0256,健
0258,侧
0259,侦
0260,偶
0261,仫
0262,偷
0263,伧
0264,傀
0265,傅
0266,傍
0267,傑
0268,傒
0269,傈
0270,伞
0271,备
0275,催
0277,傲
0278,传
0279,伛
0280,债
0281,伤
0282,倾
0283,偻
0284,仅
0286,佥
0287,僳
0288,像
0291,僦
0292,偾
0294,侨
0296,僖
0297,僚
0298,伪
0299,侥
0300,僧
0301,僭
0302,僮
0304,僵
0306,僻
0308,仪
0309,侬
0310,亿
0311,儆
0312,侩
0313,俭
0314,傤
0316,僰
0317,儋
0318,儇
0319,傧
0320,儒
0321,俦
0322,侪
0326,偿
0327,优
0328,储
0330,俪
0331,傥
0332,俨
0334,儿
0335,兀
0336,允
0337,元
0338,兄
0339,充
0340,兆
0341,先
0342,光
0344,克
0345,兑
0346,免
0347,兔
0349,兕
0350,兖
0351,兜
0352,兢
0354,入
0355,内
0356,全
0357,两
0359,钚
0360,八
0361,公
0362,六
0363,兮
0364,共
0365,兵
0366,其
0367,具
0368,典
0369,兼
0370,冀
0371,糍
0372,冂
0373,冉
0374,册
0375,再
0376,冏
0377,冇
0379,冒
0380,冕
0381,镩
0382,冖
0383,冗
0385,冠
0386,冢
0387,冤
0388,冥
0389,幂
0390,耖
0391,冫
0392,冬
0393,冰
0394,冲
0395,冱
0396,冶
0397,冷
0398,冮
0399,冽
0400,况
0401,凄
0402,准
0403,净
0404,凉
0405,冼
0406,凋
0407,凌
0408,冻
0410,凑
0412,凛
0413,凝
0414,决
0415,几
0416,凡
0417,凭
0418,凯
0419,凳
0420,凰
0421,茌
0422,凵
0423,凶
0424,凸
0425,凹
0427,出
0428,函
0429,菪
0430,刀
0431,刁
0432,刃
0433,分
0434,切
0435,刈
0436,刊
0437,刎
0438,刑
0439,划
0440,刖
0441,列
0442,刨
0443,初
0444,删
0445,判
0446,别
0448,利
0449,剁
0450,刮
0451,到
0452,刲
0453,刳
0455,制
0456,刷
0457,券
0458,刹
0459,刺
0461,剃
0462,刭
0463,则
0465,削
0466,刻
0467,前
0468,剜
0469,剌
0470,剡
0471,剔
0472,剖
0473,刬
0474,刚
0475,剥
0476,剩
0477,剪
0478,剐
0479,副
0480,割
0481,剀
0482,创
0484,剽
0485,剿
0489,剧
0490,劈
0491,刘
0492,刽
0494,剑
0495,剂
0496,劓
0497,劘
0499,剅
0500,力
0501,功
0502,加
0503,劣
0504,助
0505,努
0506,劫
0507,劬
0508,劭
0509,効
0510,劻
0511,劾
0512,劼
0513,劲
0514,勃
0515,勐
0516,勇
0517,勉
0518,勍
0519,勒
0520,动
0521,勖
0522,勘
0523,务
0524,胜
0525,劳
0527,募
0528,势
0530,勤
0532,勚
0533,勰
0534,勳
0535,劢
0536,励
0537,勷
0538,劝
0539,锝
0540,勹
0541,勺
0542,匀
0543,勿
0545,包
0546,匈
0547,匊
0548,匍
0549,匏
0550,匐
0551,勾
0552,匕
0553,化
0554,北
0555,匙
0556,碲
0557,匚
0558,匜
